scooter_name,brand,variant,ex_showroom_price_inr,battery_capacity_kwh,range_km,top_speed_kmph,charging_time_hrs,motor_power,kerb_weight_kg,bluetooth,navigation,riding_modes,fast_charging,url,segment,brand_value,brand_country,brand_model_count,price_per_km,performance_score,brand_encoded
Komaki FAM 2.0,Komaki,FAM 2.0 EMI,126999.0,2.02,200.0,50.0,8.15,7.0,97.5,0,0,False,0,https://www.bikedekho.com/komaki/fam-2-0,mid,5,Unknown,3,634.995,101.4,39
Kinetic Green Zoom,Kinetic,Vida V2,71531.0,1.4,70.0,40.0,8.15,250.0,97.5,0,0,False,0,https://www.bikedekho.com/kinetic-green/zoom,budget,5,Unknown,3,1021.8714285714286,94.0,38
Komaki XGT KM,Komaki,Vida VX2,40749.0,1.75,100.0,25.0,8.15,7.0,97.5,0,0,False,0,https://www.bikedekho.com/komaki/xgtkm,budget,5,Unknown,3,407.49,51.4,39
NIJ Automotive Accelero R14,NIJ,Accelero R14 EMI,49731.0,1.92,180.0,24.0,8.15,250.0,86.0,0,0,True,0,https://www.bikedekho.com/nij-automotive/accelero,budget,5,Unknown,3,276.28333333333336,131.6,45
Komaki FAM 1.0,Komaki,FAM 1.0 EMI,99999.0,2.02,100.0,50.0,8.15,7.0,97.5,0,0,False,0,https://www.bikedekho.com/komaki/fam-1-0,mid,5,Unknown,3,999.99,61.4,39
BGauss RUV 350,BGauss,RUV 350 EMI,119990.0,2.3,105.0,75.0,5.155,3.5,116.0,1,0,True,1,https://www.bikedekho.com/bgauss/ruv350,mid,5,Unknown,3,1142.7619047619048,72.7,6
Motovolt M7,Motovolt,M7 EMI,74999.0,3.0,73.0,60.0,8.15,1.5,107.0,0,0,False,0,https://www.bikedekho.com/motovolt/m7,budget,5,Unknown,3,1027.3835616438357,53.5,43
Sokudo Plus,Sokudo,Bajaj Chetak C2501,61889.0,2.02,105.0,50.0,8.15,7.0,100.0,0,0,True,1,https://www.bikedekho.com/sokudo/plus,budget,5,Unknown,3,589.4190476190477,63.4,64
Joy e-bike Gen Next Nanu,Joy,Vida VX2,53999.0,1.44,70.0,25.0,8.15,250.0,70.0,0,0,False,1,https://www.bikedekho.com/joy-e/gen-nxt-nanu-e-scooter,budget,5,Unknown,3,771.4142857142857,88.0,35
AMO Electric Jaunty,AMO,Vida VX2,56852.0,1.56,75.0,25.0,6.0,249.0,62.0,0,0,False,1,https://www.bikedekho.com/amomobility/jaunty,budget,5,Unknown,3,758.0266666666666,89.80000000000001,2
Zelio Gracy Pro,Zelio,Bajaj Chetak C2501,79999.0,3.02,120.0,50.0,8.15,7.0,90.0,0,0,False,0,https://www.bikedekho.com/zelio/gracy-pro,budget,5,Unknown,3,666.6583333333333,69.4,83
Yo Electron DX vs Vida VX2,Yo,Vida VX2,56000.0,0.34,60.0,25.0,10.0,250.0,88.0,0,0,True,0,https://www.bikedekho.com/compare/electron-dx-vs-vx2,budget,5,Unknown,3,933.3333333333334,84.0,81
Komaki X One vs Zelo Zoop,Komaki,Vida VX2,34999.0,1.63,60.0,25.0,34.0,7.0,97.5,1,0,True,0,https://www.bikedekho.com/compare/xone-vs-zoop,budget,5,Unknown,3,583.3166666666667,35.4,39
TVS iQube vs Hero Electric Photon,TVS,Ather 450X,115322.0,2.2,94.0,75.0,5.0,4.4,110.0,1,1,True,1,https://www.bikedekho.com/compare/iqube-electric-vs-photon,mid,9,India,5,1226.8297872340424,68.47999999999999,68
BattRE Electric Storie,BattRE,Bajaj Chetak C2501,99999.0,2.3,103.0,65.0,8.15,2.4,97.5,0,0,True,0,https://www.bikedekho.com/battre-electric-mobility/storie,mid,5,Unknown,3,970.8640776699029,67.68,9
Okinawa R30,Okinawa,R30 EMI,61998.0,1.34,60.0,25.0,8.15,250.0,97.5,0,0,False,0,https://www.bikedekho.com/okinawa/r30,budget,5,Unknown,3,1033.3,84.0,50
Yakuza Nebula,Yakuza,Vida VX2,55800.0,2.02,55.0,25.0,8.15,250.0,97.5,0,0,False,0,https://www.bikedekho.com/yakuza-electric/nebula,budget,5,Unknown,3,1014.5454545454545,82.0,79
Warivo Neo,Warivo,Vida VX2,39999.0,2.02,60.0,25.0,8.15,250.0,97.5,0,0,True,0,https://www.bikedekho.com/warivo-motor/warivo-neo,budget,5,Unknown,3,666.65,84.0,76
Gaura Warrior 5G,Gaura,Warrior 5G EMI,62999.0,1.34,40.0,25.0,4.0,250.0,82.0,0,0,False,0,https://www.bikedekho.com/gaura-electric/warrior-5g,budget,5,Unknown,3,1574.975,76.0,21
Okaya Freedum,Okaya,Bajaj Chetak C2501,69999.0,1.44,75.0,25.0,8.15,250.0,97.5,0,0,True,1,https://www.bikedekho.com/okaya/freedum,budget,5,Unknown,3,933.32,90.0,49
Joy e-bike Wolf,Joy,Vida VX2,54999.0,1.38,60.0,25.0,8.15,250.0,67.0,0,0,False,1,https://www.bikedekho.com/joy-e/wolf,budget,5,Unknown,3,916.65,84.0,35
Zelio X Men Plus,Zelio,Vida VX2,60000.0,2.02,120.0,25.0,8.15,7.0,80.0,0,0,False,0,https://www.bikedekho.com/zelio/x-men-plus,budget,5,Unknown,3,500.0,59.4,83
Okinawa Lite,Okinawa,Bajaj Chetak C2501,69093.0,1.25,60.0,25.0,8.15,250.0,97.5,0,0,False,0,https://www.bikedekho.com/okinawa/lite,budget,5,Unknown,3,1151.55,84.0,50
Warivo Edge,Warivo,Vida VX2,44999.0,2.02,60.0,25.0,8.15,250.0,97.5,0,0,True,0,https://www.bikedekho.com/warivo-motor/warivo-edge,budget,5,Unknown,3,749.9833333333333,84.0,76
Gravton Quanta,Gravton,Bajaj Chetak C2501,120000.0,6.0,130.0,70.0,8.15,4.0,97.5,0,1,False,1,https://www.bikedekho.com/gravton/quanta,mid,5,Unknown,3,923.0769230769231,80.8,25
BNC Motors Challenger,BNC,Bajaj Chetak C2501,99900.0,2.1,90.0,70.0,8.15,3.0,110.0,1,0,True,1,https://www.bikedekho.com/boom-motors/bnc-challenger,mid,5,Unknown,3,1110.0,64.6,7
Green Invicta,Green,Vida VX2,39499.0,1.38,60.0,25.0,8.15,250.0,92.0,0,0,False,0,https://www.bikedekho.com/green-ev/invicta,budget,5,Unknown,3,658.3166666666667,84.0,26
Yo Drift DX,Yo,Vida VX2,65000.0,0.34,60.0,25.0,8.15,250.0,70.0,0,0,True,0,https://www.bikedekho.com/yobykes/drift,budget,5,Unknown,3,1083.3333333333333,84.0,81
Deltic Legion,Deltic,Bajaj Chetak C2501,69490.0,1.68,70.0,25.0,8.15,250.0,97.5,0,0,False,0,https://www.bikedekho.com/deltic/legion,budget,5,Unknown,3,992.7142857142857,88.0,13
Shema Eagle,Shema,Vida VX2,64999.0,1.81,80.0,50.0,8.15,1.2,97.5,0,0,False,0,https://www.bikedekho.com/shema-e-vehicle/shema-eagle,budget,5,Unknown,3,812.4875,52.24,62
Okinawa iPraise+,Okinawa,Bajaj Chetak C2501,122955.0,3.3,139.0,58.0,8.15,2.7,97.5,0,1,False,0,https://www.bikedekho.com/okinawa/i-praise,mid,5,Unknown,3,884.568345323741,79.34000000000002,50
Gaura Sniper 5G,Gaura,Sniper 5G EMI,52990.0,1.68,50.0,25.0,8.15,250.0,93.0,0,0,False,0,https://www.bikedekho.com/gaura-electric/sniper-5g,budget,5,Unknown,3,1059.8,80.0,21
Ozotec Bheem,Ozotec,Bajaj Chetak C2501,115490.0,1.75,215.0,65.0,8.15,3.0,97.5,1,1,True,0,https://www.bikedekho.com/ozotec/bheem,mid,5,Unknown,3,537.1627906976744,112.6,54
Jitendra JMT 1000,Jitendra,JMT 1000 EMI,65997.0,1.92,75.0,52.0,8.15,1.01,87.0,1,0,True,0,https://www.bikedekho.com/jitendra-ev/jmt-1000,budget,5,Unknown,3,879.96,51.001999999999995,34
TVS iQube vs BattRE Electric Storie,TVS,Ather 450X,115322.0,2.2,94.0,75.0,5.0,4.4,110.0,1,1,True,1,https://www.bikedekho.com/compare/iqube-electric-vs-storie,mid,9,India,5,1226.8297872340424,68.47999999999999,68
Okinawa R30 vs Vida VX2,Okinawa,Okinawa R30,61998.0,1.34,60.0,25.0,45.0,250.0,97.5,0,0,False,0,https://www.bikedekho.com/compare/r30-vs-vx2,budget,5,Unknown,3,1033.3,84.0,50
Yakuza Nebula vs Yulu Wynn,Yakuza,Vida VX2,55800.0,2.02,55.0,25.0,68.0,250.0,97.5,0,0,False,0,https://www.bikedekho.com/compare/nebula-vs-wynn,budget,5,Unknown,3,1014.5454545454545,82.0,79
EeVe Forseti,EeVe,Bajaj Chetak C2501,100000.0,2.02,100.0,70.0,34.0,7.0,97.5,0,0,False,1,https://www.bikedekho.com/eeve/forseti,mid,5,Unknown,3,1000.0,69.4,16
Okaya Faast F2B,Okaya,Faast F2B EMI,89999.0,2.2,81.0,70.0,8.15,2.3,97.5,0,0,True,1,https://www.bikedekho.com/okaya/faast-f2b,budget,5,Unknown,3,1111.0987654320988,60.86,49
